Portfolio Name,Property Name,Property Beds,"Property - # of Signed Renewals, Current Term","Property - # of Signed New Leases, Current Term","Property - # of Signed Leases, Current Term","Property - # of Renewals, Last Term - YTD","Property - # of New Leases, Last Term - YTD","Property - # of Signed Leases, Last Term - YTD",Property - Current Occupancy,Property - Prior Term PreLease,Property - Current Term PreLease,Property - Leases vs Last Year,Property - PreLease vs Last Year,Property - Weekly PreLease Gain,Property - Leases Remaining
All GMH Properties,The Venue at North Campus,734,351,342,693,0,0,0,88.964577656676%,0%,94.41416893733%,693,94.41416893733%,3.9509536784741%,41
All GMH Properties,Life Tower,0,0,0,0,142,226,368,,,,-368,,,0
All GMH Properties,The Dean Reno,773,244,418,662,0,461,461,72.056921086675%,59.637774902975%,85.640362225097%,201,26.002587322122%,3.2341526520052%,111
Medistar,Life Tower,0,0,0,0,142,226,368,,,,-368,,,0
CRG,The Dean Reno,773,244,418,662,0,461,461,72.056921086675%,59.637774902975%,85.640362225097%,201,26.002587322122%,3.2341526520052%,111
All GMH Properties,Torre,558,166,360,526,146,342,488,89.78494623656%,87.455197132616%,94.26523297491%,38,6.810035842294%,1.4336917562724%,32
CBRE,Torre,558,166,360,526,146,342,488,89.78494623656%,87.455197132616%,94.26523297491%,38,6.810035842294%,1.4336917562724%,32
Principal,Shortbread Lofts,374,29,344,373,21,328,349,105.61497326203%,93.31550802139%,99.732620320856%,24,6.4171122994652%,0%,1
Principal,The Academy at Frisco,640,341,343,684,254,367,621,99.84375%,97.03125%,106.875%,63,9.84375%,0.15625%,-44
Principal,The Academy on Charles,328,127,208,335,111,214,325,100%,99.085365853659%,102.13414634146%,10,3.0487804878049%,0.30487804878049%,-7
Principal,The Rise at Northgate,465,273,203,476,275,185,460,99.354838709677%,98.924731182796%,102.36559139785%,16,3.4408602150538%,0%,-11
CBRE,SOVA,816,462,488,950,382,415,797,99.142156862745%,97.67156862745%,116.42156862745%,153,18.75%,1.2254901960784%,-134
AGC,Campustown 1008 S. 4th,158,56,108,164,21,135,156,96.20253164557%,98.73417721519%,103.79746835443%,8,5.0632911392405%,0%,-6
AGC,1047 Commonwealth Avenue,183,76,83,159,82,94,176,98.360655737705%,96.174863387978%,86.88524590164%,-17,-9.2896174863388%,0%,24
AGC,Campustown 307 E. Daniel,40,16,23,39,5,34,39,97.5%,97.5%,97.5%,0,0%,0%,1
AGC,Campustown 501 S. 6th,104,57,51,108,27,76,103,99.038461538462%,99.038461538462%,103.84615384615%,5,4.8076923076923%,0.96153846153846%,-4
AGC,Campustown 908 S. 1st,96,34,65,99,15,77,92,95.833333333333%,95.833333333333%,103.125%,7,7.2916666666667%,0%,-3
AGC,Academy 65,309,144,117,261,133,106,239,77.99352750809%,77.346278317152%,84.466019417476%,22,7.1197411003236%,3.2362459546926%,48
AGC,Academy Lincoln,632,249,402,651,168,422,590,96.044303797468%,93.354430379747%,103.00632911392%,61,9.6518987341772%,0.4746835443038%,-19
AGC,The Academy Chorro,0,23,75,98,37,54,91,,,,7,,,-98
AGC,The Academy Palomar,0,38,93,131,35,90,125,,,,6,,,-131
AGC,The Dean Campustown,672,281,402,683,209,443,652,96.279761904762%,97.02380952381%,101.6369047619%,31,4.6130952380952%,0.29761904761905%,-11
All GMH Properties,Campustown 1008 S. 4th,158,56,108,164,21,135,156,96.20253164557%,98.73417721519%,103.79746835443%,8,5.0632911392405%,0%,-6
All GMH Properties,1047 Commonwealth Avenue,183,76,83,159,82,94,176,98.360655737705%,96.174863387978%,86.88524590164%,-17,-9.2896174863388%,0%,24
All GMH Properties,Campustown 307 E. Daniel,40,16,23,39,5,34,39,97.5%,97.5%,97.5%,0,0%,0%,1
All GMH Properties,Campustown 501 S. 6th,104,57,51,108,27,76,103,99.038461538462%,99.038461538462%,103.84615384615%,5,4.8076923076923%,0.96153846153846%,-4
All GMH Properties,Campustown 908 S. 1st,96,34,65,99,15,77,92,95.833333333333%,95.833333333333%,103.125%,7,7.2916666666667%,0%,-3
All GMH Properties,Academy 65,309,144,117,261,133,106,239,77.99352750809%,77.346278317152%,84.466019417476%,22,7.1197411003236%,3.2362459546926%,48
All GMH Properties,Academy Lincoln,632,249,402,651,168,422,590,96.044303797468%,93.354430379747%,103.00632911392%,61,9.6518987341772%,0.4746835443038%,-19
All GMH Properties,Shortbread Lofts,374,29,344,373,21,328,349,105.61497326203%,93.31550802139%,99.732620320856%,24,6.4171122994652%,0%,1
All GMH Properties,SOVA,816,462,488,950,382,415,797,99.142156862745%,97.67156862745%,116.42156862745%,153,18.75%,1.2254901960784%,-134
All GMH Properties,The Academy at Frisco,640,341,343,684,254,367,621,99.84375%,97.03125%,106.875%,63,9.84375%,0.15625%,-44
All GMH Properties,The Academy Chorro,0,23,75,98,37,54,91,,,,7,,,-98
All GMH Properties,The Academy on Charles,328,127,208,335,111,214,325,100%,99.085365853659%,102.13414634146%,10,3.0487804878049%,0.30487804878049%,-7
All GMH Properties,The Academy Palomar,0,38,93,131,35,90,125,,,,6,,,-131
All GMH Properties,The Rise at Northgate,465,273,203,476,275,185,460,99.354838709677%,98.924731182796%,102.36559139785%,16,3.4408602150538%,0%,-11
All GMH Properties,The Dean Campustown,672,281,402,683,209,443,652,96.279761904762%,97.02380952381%,101.6369047619%,31,4.6130952380952%,0.29761904761905%,-11
