Record ID#,property_id,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,Bed Count Variance,occupied_count,PLR Signed Leases,preleased_count,Signed Leases Variance
726,,1008 S. 4th,B1,B1,1,8,8,0,8,8,0,8
727,,1008 S. 4th,B2,B2,2,8,8,0,8,9,0,9
728,,1008 S. 4th,B3,B3,3,10,10,0,10,10,0,10
729,,1008 S. 4th,B4,B4,4,2,2,0,2,3,0,3
730,,1008 S. 4th,B5,B5,5,2,2,0,2,2,0,2
731,,1008 S. 4th,C1,C1,6,12,12,0,12,12,0,12
732,,1008 S. 4th,D1,D1,7,16,16,0,16,16,0,16
733,,1008 S. 4th,D1 Balcony,D1 Balcony,8,16,16,0,16,16,0,16
734,,1008 S. 4th,D2,D2,9,48,48,0,46,48,0,48
735,,1008 S. 4th,D3 Balcony,D3 Balcony,10,12,12,0,12,13,0,13
736,,1008 S. 4th,M1 Murphy,M1 Murphy,11,4,4,0,3,6,0,6
737,,1008 S. 4th,M1 Murphy Balcony,M1 Murphy Balcony,12,12,12,0,9,13,0,13
739,,1008 S. 4th,S1,S1,13,4,4,0,4,4,0,4
740,,1008 S. 4th,S2,S2,14,4,4,0,4,4,0,4
1021,,1047 Commonwealth Avenue,,Not Selected,,0,,0,0,,0,0
742,,1047 Commonwealth Avenue,S1,S1,15,25,25,0,25,26,0,26
743,,1047 Commonwealth Avenue,S10,S10,16,4,4,0,4,2,0,2
744,,1047 Commonwealth Avenue,S11,S11,17,24,24,0,22,21,0,21
745,,1047 Commonwealth Avenue,S2,S2,18,12,12,0,11,12,0,12
746,,1047 Commonwealth Avenue,S3,S3,19,51,51,0,51,34,0,34
747,,1047 Commonwealth Avenue,S4,S4,20,8,8,0,8,9,0,9
748,,1047 Commonwealth Avenue,S5,S5,21,10,10,0,10,10,0,10
749,,1047 Commonwealth Avenue,S6,S6,22,29,29,0,29,33,0,33
750,,1047 Commonwealth Avenue,S7,S7,23,4,4,0,4,4,0,4
751,,1047 Commonwealth Avenue,S8,S8,24,11,11,0,11,5,0,5
752,,1047 Commonwealth Avenue,S9,S9,25,5,5,0,5,3,0,3
753,,307 E. Daniel,D1,D1,26,40,40,0,39,39,0,39
696,,501 S. 6th,B1,B1,27,2,2,0,2,2,0,2
697,,501 S. 6th,B2,B2,28,2,2,0,2,2,0,2
698,,501 S. 6th,C1,C1,29,12,12,0,12,12,0,12
699,,501 S. 6th,C2,C2,30,12,12,0,12,12,0,12
700,,501 S. 6th,D1,D1,31,16,16,0,16,16,0,16
701,,501 S. 6th,D2,D2,32,16,16,0,16,17,0,17
702,,501 S. 6th,D3 Townhome,D3 Townhome,33,4,4,0,4,4,0,4
703,,501 S. 6th,E1 Townhome,E1 Townhome,34,20,20,0,20,22,0,22
704,,501 S. 6th,E2 Townhome,E2 Townhome,35,20,20,0,19,21,0,21
706,,908 S. 1st,A1,A1,36,16,16,0,15,17,0,17
707,,908 S. 1st,B1,B1,38,8,8,0,8,8,0,8
708,,908 S. 1st,B2,B2,39,16,16,0,16,16,0,16
709,,908 S. 1st,B3,B3,40,8,8,0,7,8,0,8
710,,908 S. 1st,D1,D1,41,16,16,0,16,16,0,16
711,,908 S. 1st,M1 Murphy,M1 Murphy,43,12,12,0,10,13,0,13
712,,908 S. 1st,M1 Murphy Balcony,M1 Murphy Balcony,44,16,16,0,16,17,0,17
713,,908 S. 1st,M2 Murphy,M2 Murphy,45,4,4,0,4,4,0,4
715,,Academy 65,A1,A1,46,10,10,0,10,14,0,14
716,,Academy 65,B1,B1,47,21,21,0,21,21,0,21
717,,Academy 65,B1 Semi-Shared,B1 Semi-Shared,341,21,21,0,17,20,0,20
718,,Academy 65,C1 Study,C1 Study,343,3,3,0,2,4,0,4
719,,Academy 65,D1 Balcony,D1 Balcony,342,40,40,0,23,21,0,21
720,,Academy 65,D2,D2,51,64,64,0,52,54,0,54
721,,Academy 65,D3,D3,52,20,20,0,17,20,0,20
722,,Academy 65,D3 Semi-Shared,D3 Semi-Shared,344,120,120,0,91,94,0,94
996,,Academy 65,,Not Selected,,0,,0,0,,0,0
724,,Academy 65,S1,S1,53,5,5,0,4,7,0,7
725,,Academy 65,S2,S2,54,5,5,0,4,6,0,6
755,,Academy Lincoln,B1,B1,55,30,30,0,30,32,0,32
756,,Academy Lincoln,B2,B2,56,38,38,0,36,40,0,40
757,,Academy Lincoln,B3 Townhome,B3 Townhome,57,14,14,0,14,14,0,14
758,,Academy Lincoln,C1,C1,58,42,42,0,41,40,0,40
759,,Academy Lincoln,D1,D1,60,472,472,0,452,489,0,489
760,,Academy Lincoln,D2,D2,62,36,36,0,34,36,0,36
1066,,Academy Lincoln,,Not Selected,,0,,0,0,,0,0
762,,ANOVA uCity Square,A1,A1,345,6,6,0,4,5,0,5
763,,ANOVA uCity Square,A2,A2,346,17,17,0,14,17,0,17
764,,ANOVA uCity Square,A3,A3,347,10,10,0,10,9,0,9
765,,ANOVA uCity Square,A4,A4,348,20,20,0,18,20,0,20
766,,ANOVA uCity Square,A5,A5,349,6,6,0,4,4,0,4
767,,ANOVA uCity Square,A6,A6,350,5,5,0,4,5,0,5
768,,ANOVA uCity Square,A7,A7,351,5,5,0,4,5,0,5
769,,ANOVA uCity Square,A8,A8,352,186,186,0,156,166,0,166
770,,ANOVA uCity Square,B1,B1,353,11,11,0,9,12,0,12
771,,ANOVA uCity Square,B2,B2,354,22,22,0,20,22,0,22
772,,ANOVA uCity Square,C1,C1,355,5,5,0,5,5,0,5
998,,ANOVA uCity Square,,Not Selected,,0,,0,0,,0,0
774,,ANOVA uCity Square,S1,S1,357,168,168,0,123,160,0,160
782,,Shortbread Lofts,B1 (Shared),B1,202,40,40,0,39,24,0,24
783,,Shortbread Lofts,B2 (Shared),B2,204,10,10,0,10,,0,0
784,,Shortbread Lofts,B3 (Private),B3,205,2,2,0,2,2,0,2
785,,Shortbread Lofts,B4 (Private),B4,206,2,2,0,2,2,0,2
786,,Shortbread Lofts,C1 (Private),C1,207,56,56,0,53,42,0,42
