Charge Code,Charge Code ID,Lease charges,Add Lease Charge,Charge Code Type,Date Created,Date Modified,Last Modified By,Record ID#,Record Owner
Additional Rent - Mitigated Risk,"148,909","148,909",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148909&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,1,JT Bailey <62477437.bhmt>
Amenity Fee,"148,111","148,111",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148111&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,2,JT Bailey <62477437.bhmt>
Balcony Premium,"148,253","148,253",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148253&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,3,JT Bailey <62477437.bhmt>
Balcony Unit Premium,"148,919","148,919",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148919&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,4,JT Bailey <62477437.bhmt>
Base Rent,"147,881","147,881",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=147881&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,5,JT Bailey <62477437.bhmt>
Covered Parking,"147,893","147,893",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=147893&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,6,JT Bailey <62477437.bhmt>
Deferred Rent - August 2022,"148,851","148,851",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148851&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,7,JT Bailey <62477437.bhmt>
Deferred Rent - January 2023,"148,929","148,929",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148929&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,8,JT Bailey <62477437.bhmt>
Deferred Rent - July 2024,"149,015","149,015",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=149015&z=9nm,,11-22-2022 06:28 PM,11-22-2022 06:28 PM,JT Bailey <62477437.bhmt>,45,JT Bailey <62477437.bhmt>
Deferred Rent - June 2024,"149,017","149,017",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=149017&z=9nm,,11-22-2022 06:28 PM,11-22-2022 06:28 PM,JT Bailey <62477437.bhmt>,46,JT Bailey <62477437.bhmt>
