Description,Document Template - Name,Related Document Template,Table Name,dbid,Sheet,qry,clist,slist,stlist,Is Data Grid?,Date Created,Date Modified,EachRecordasNewTab,grouplist,Last Modified By,Link to table,Max Line items,Max Lines type,Record ID#,Record Owner,Skip Rows,slist Options,Tab sub report order
Sheet 10 - Weekly Total Graph Data,Weekly Performance Overview,2,Weekly Stats,bq5hz7i8t,10,{'11'.EX.'[RK]'} AND {'25'.EX.'2022 - 2023'},A2:12.B2:59.C2-N:47.D2-N:68.E2-N:76,59,,yes,07-19-2021 12:53 PM,10-05-2021 01:46 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,16,JT Bailey <62477437.bhmt>,,,
Sheet 10 - Weekly Total Graph Data,NEW - Weekly Performance Overview,5,Weekly Stats,bq5hz7i8t,10,{'11'.EX.'[RK]'} AND {'25'.EX.'2022 - 2023'},"A2:12.
B2:59.
C2-N:47.
D2-N:68.
E2-N:76",59,,yes,10-25-2021 09:36 AM,12-07-2021 12:33 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,25,JT Bailey <62477437.bhmt>,,,
Property Info,Portfolio Roll Up Template,6,,bq5hz7i5z,1,{'8'.EX.'[RK]'},"A11:7.
B11:11.
C11:28.
D11-N:30.
F11:13.
G11:14.
H11:12.
I11-N:32.
K11:16.
L11:17.
M11:15.
N11-N:31.
P11:33.
Q11-N:34.
S11:23.
T11:24.
U11:22.
V11-N:35.
X11:36.
Y11:22.
Z11:25.
AA11:26.
AB11:27",40,,yes,02-20-2022 05:44 PM,03-09-2022 02:05 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,50,JT Bailey <62477437.bhmt>,,,
Portfolios,Dashboard Output,1,,bq5hz7i5x,1,{'28'.EX.'[RK]'},"B31:8.C31:10.D31:37.E31-N:39.G31:12.H31:13.I31:11.J31-N:17.L31:15.M31:16.O31-N:18.T31:31.U31:32.V31:30.W31-N:33.AA31:34.AB31:35.AC31:36


",40,,yes,06-01-2021 11:45 PM,03-15-2023 12:14 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,1,JT Bailey <62477437.bhmt>,,,
Sheet 12 - Floorplan PreLease Chart Data,NEW - Weekly Performance Overview,5,Floorplans,bq5hz7i58,12,{'14'.EX.'[RK]'} AND {'9'.XEX.''} AND {'9'.XEX.'0'},"A2:6.
B2:220.
C2:221.
D2:223",6,,yes,07-19-2021 12:53 PM,10-06-2022 06:10 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,4,JT Bailey <62477437.bhmt>,,6,
Sheet 02 - Weekly Leasing Breakdown,Weekly Performance Overview,2,Floorplans,bq5hz7i58,2,{'14'.EX.'[RK]'} AND {'9'.XEX.''},"A5:6.
E5:193.
F5:199.
G5:192.
H5:198.
I5:191.
J5:197.
K5:190.
L5:196.
M5:189.
N5:195.
O5:188.
P5:194.
Q5:187.
R5:186.
V5-N:201.
X5:54.
Y5:55.
AA5:25.
AB5:9.
AC5:76.
AE5-N:56",6,A: Total |E.F.G.H.I.J.K.L.M.N.O.P.Q.R.T.U.X.Y.AA.AB.AC|LIGHTBLUE,yes,07-19-2021 12:53 PM,10-07-2021 10:03 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,5,JT Bailey <62477437.bhmt>,,,
Sheet 03 - Floorplan Financial Details,Weekly Performance Overview,2,Floorplans,bq5hz7i58,3,{'14'.EX.'[RK]'} AND {'9'.XEX.''},"A4:6.
C4:9.
D4:21.
E4:72.
G4:25.
H4:35.
I4:37.
J4:76.
K4:38.
L4:40.
M4:43.
N4-N:154.
O4-N:158
",6,A: Total |C.G.I.J.K.L.N.O|LIGHTBLUE,yes,07-19-2021 12:53 PM,10-07-2021 01:42 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,7,JT Bailey <62477437.bhmt>,,,
Sheet 05 - Floorplan Incentive Details,Weekly Performance Overview,2,Floorplans,bq5hz7i58,5,{'14'.EX.'[RK]'} AND {'9'.XEX.''},"A4:6.
C4:25.
D4:76.
F4:35.
G4:60.
H4:165.
I4:59.
J4:166.
K4:167.
L4:66

",6,A: Total |C.D.G.I|LIGHTBLUE,yes,07-19-2021 12:53 PM,10-07-2021 10:03 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,9,JT Bailey <62477437.bhmt>,,,
Sheet 06 - Floorplan Lease Approval and Aging,Weekly Performance Overview,2,Floorplans,bq5hz7i58,6,{'14'.EX.'[RK]'} AND {'9'.XEX.''},"A6:6.
E6:168.
F6:171.
G6:170.
H6:169.
J6:172",6,,yes,07-19-2021 12:53 PM,10-07-2021 10:15 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,11,JT Bailey <62477437.bhmt>,,,
Sheet 09 - Floorplan Leasing Details,Weekly Performance Overview,2,Floorplans,bq5hz7i58,9,{'14'.EX.'[RK]'} AND {'9'.XEX.''},"A5:6.
C5:9.
D5-N:174.
F5:55.
G5:54.
H5:25.
I5-N:56.
K5:52.
L5-N:175.
M5-N:176",6,A: Total |C.F.G.H.K|LIGHTBLUE,yes,07-19-2021 12:53 PM,10-04-2021 10:25 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,14,JT Bailey <62477437.bhmt>,,,
