Lease ID,Lease Interval ID,Scheduled Charge ID,Charge Code ID,Charge Code,Charge Type,Charge Start Date,Charge End Date,Charge Amount,Charge Frequency,timestamp,owner,xQuery - Related Lease,Related Code,Charge Usage,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
"13,311,202","16,898,840","41,085,754","148,134",Garage Parking,other,07-01-2023,07-31-2024,$25,Monthly,1669105271,gmh,"30,401","148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14472,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,207","16,897,160","40,977,119","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$745,Monthly,1669105271,gmh,"31,113","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14473,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,207","16,897,160","40,977,120","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"31,113","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14474,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,371","16,897,708","40,978,593","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$745,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14475,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,371","16,897,708","40,978,594","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14476,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,371","16,897,708","40,978,595","148,134",Garage Parking,other,08-01-2023,07-31-2024,$75,Monthly,1669105271,gmh,,"148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14477,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,574","16,906,304","41,027,709","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$835,Monthly,1669105271,gmh,"30,638","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14478,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,574","16,906,304","41,027,710","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"30,638","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14479,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,574","16,906,304","41,027,711","148,134",Garage Parking,other,08-01-2023,07-31-2024,$25,Monthly,1669105271,gmh,"30,638","148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14480,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,823","16,909,929","41,048,493","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14481,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,823","16,909,929","41,048,492","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$725,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14482,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,823","16,909,929","41,048,494","148,134",Garage Parking,other,08-01-2023,07-31-2024,$75,Monthly,1669105271,gmh,,"148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14483,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,826","16,909,955","41,048,568","148,134",Garage Parking,other,08-01-2023,07-31-2024,$75,Monthly,1669105271,gmh,,"148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14484,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,826","16,909,955","41,048,567","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,14485,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
