Property ID,Property,Property Name,Rentable Units,Property - Total Rentable Beds,Occupied - Count,Property - Total Occupied Beds,Pre-Leased - Signed - Count,"Property - # of Signed Leases, Current Term",Date Created,Date Modified,Excluded Units,Last Modified By,Record ID#,Record Owner,Related Property,Unit Count
739076,1008 S. 4th,Campustown 1008 S. 4th,158,158,92,152,74,164,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,1,Connected Data Service <3000.e5kr>,1,158
739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,180,183,180,180,75,160,04-15-2021 08:02 PM,04-28-2021 01:58 PM,1,Connected Data Service <3000.e5kr>,2,Connected Data Service <3000.e5kr>,2,181
739084,908 S. 1st,Campustown 908 S. 1st,96,96,53,92,27,99,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,5,Connected Data Service <3000.e5kr>,5,96
641240,Academy 65,Academy 65,309,309,188,241,95,265,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,6,Connected Data Service <3000.e5kr>,6,309
676055,Academy Lincoln,Academy Lincoln,632,632,614,607,441,651,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,7,Connected Data Service <3000.e5kr>,7,632
909419,Everly on The Loop,Everly on The Loop,428,0,419,0,259,0,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,8,Connected Data Service <3000.e5kr>,8,430
637523,River House,River House,270,0,253,0,103,0,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,9,Connected Data Service <3000.e5kr>,9,272
518044,Shortbread Lofts,Shortbread Lofts,395,374,393,395,389,373,04-15-2021 08:02 PM,04-28-2021 01:58 PM,6,Connected Data Service <3000.e5kr>,10,Connected Data Service <3000.e5kr>,10,401
952515,SOVA,SOVA,816,816,809,809,644,953,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,11,Connected Data Service <3000.e5kr>,11,821
577897,Station Nine,Station Nine,323,323,318,234,281,302,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,12,Connected Data Service <3000.e5kr>,12,323
518041,The Academy at Frisco,The Academy at Frisco,640,640,623,639,502,684,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,13,Connected Data Service <3000.e5kr>,13,641
535270,The Academy Chorro,The Academy Chorro,96,0,77,0,43,98,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,14,Connected Data Service <3000.e5kr>,14,96
518042,The Academy on Charles,The Academy on Charles,328,328,310,328,218,335,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,15,Connected Data Service <3000.e5kr>,15,328
833617,The Dean Campustown,The Dean Campustown,672,672,290,647,361,683,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,17,Connected Data Service <3000.e5kr>,18,672
518046,The Rise at Northgate,The Rise at Northgate,465,465,458,462,453,476,04-15-2021 08:02 PM,04-28-2021 01:58 PM,0,Connected Data Service <3000.e5kr>,18,Connected Data Service <3000.e5kr>,17,465
739079,307 E. Daniel,Campustown 307 E. Daniel,40,40,21,39,35,39,04-15-2021 08:02 PM,04-21-2021 01:54 PM,0,Connected Data Service <3000.e5kr>,3,Connected Data Service <3000.e5kr>,3,40
676054,The Academy Palomar,The Academy Palomar,129,0,115,0,48,131,04-15-2021 08:02 PM,04-21-2021 01:54 PM,0,Connected Data Service <3000.e5kr>,16,Connected Data Service <3000.e5kr>,16,129
739080,501 S. 6th,Campustown 501 S. 6th,104,104,32,103,19,108,04-15-2021 08:02 PM,04-15-2021 08:26 PM,0,JT Bailey <62477437.bhmt>,4,Connected Data Service <3000.e5kr>,4,104
