Monthly Collection Key,Property Name,Month,Year,Final Scheduled Rent,Final Rent Collected,Final Delinquency,Percentage of Rent Paid,Date Created,Date Modified,Last Modified By,Month - Year,Record ID#,Record Owner,Related Property,xMonthlyCollectionKey,xMonthYear,Year Order,Term Order,Property - Live
2: December - 2020,1047 Commonwealth Avenue,December,2020,$0,$0,,,12-01-2020 03:44 PM,12-01-2020 03:46 PM,Bailey Tech Group QB <61083822.deca>,December - 2020,2,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,12,4,no
2: January - 2020,1047 Commonwealth Avenue,January,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 03:54 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,January - 2020,20,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,1,5,no
2: February - 2020,1047 Commonwealth Avenue,February,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:00 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,February - 2020,38,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,2,6,no
2: March - 2020,1047 Commonwealth Avenue,March,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:03 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,March - 2020,56,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,3,7,no
2: April - 2020,1047 Commonwealth Avenue,April,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:05 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,April - 2020,74,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,4,8,no
2: May - 2020,1047 Commonwealth Avenue,May,2020,"$425,374.3","$425,374.3",,100%,12-01-2020 04:21 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,May - 2020,92,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,5,9,no
2: June - 2020,1047 Commonwealth Avenue,June,2020,$0,$0,,,12-01-2020 04:24 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,June - 2020,110,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,6,10,no
2: July - 2020,1047 Commonwealth Avenue,July,2020,$0,$0,,,12-01-2020 04:26 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,July - 2020,128,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,7,11,no
2: August - 2020,1047 Commonwealth Avenue,August,2020,$0,$0,,,12-01-2020 04:28 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,August - 2020,146,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,8,12,no
2: September - 2020,1047 Commonwealth Avenue,September,2020,$0,$0,,,12-01-2020 04:31 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,September - 2020,164,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,9,1,no
2: October - 2020,1047 Commonwealth Avenue,October,2020,$0,$0,,,12-01-2020 04:34 PM,12-06-2020 09:37 PM,Bailey Tech Group QB <61083822.deca>,October - 2020,182,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,10,2,no
2: November - 2020,1047 Commonwealth Avenue,November,2020,$0,$0,,,12-01-2020 04:36 PM,12-01-2020 04:36 PM,Bailey Tech Group QB <61083822.deca>,November - 2020,200,Bailey Tech Group QB <61083822.deca>,2,2: September - 2024,September - 2024,11,3,no
2: January - 2021,1047 Commonwealth Avenue,January,2021,$0,$0,,,01-04-2021 05:13 PM,01-25-2021 03:08 PM,JT Bailey <62477437.bhmt>,January - 2021,218,JT Bailey <62477437.bhmt>,2,2: September - 2024,September - 2024,1,5,no
