Property Name,MOP Key,Month,Month Number,Year,Current Month?,# of Future Lease Move Ins,# of Current Lease Move Outs,# of Current Lease Ends with Renewal,# of Current Lease Ends,# of Future Lease Move Outs,Property - Total Occupied Beds,xPrior Month Year,xNext Month Year,Running Projection - Occupancy,xSystem - Previous MOP Key,Related Occupancy Projection (Previous Month),Running Projection - Occupancy Through Last Month,Net Occupancy Change,Add Occupancy Projection,Current leases,Current leases2,Date Created,Date Modified,Hybrid future leases,Hybrid future leases2,Last Modified By,Month Ending Date,Occupancy projections,Record ID#,Record Owner,Related Property,xNext Month,xPrior Month,xSystem - MOP Key,xSystem - Running Projection - Occupancy Through Last Month,Property Beds,Projected Move Ins,Projected Move Outs,Starting Occupancy,Projected Occupancy,Budgeted Occupied Beds,Budgeted Occupancy,Leases Needed to Meet Budget,Projected Renewal Goal,Projected Renewals,Property - xProjected Occupancy - Month 0,Property - xProjected Occupancy - Month 1,Property - xProjected Occupancy - Month 2,Property - xProjected Occupancy - Month 3,Property - xProjected Occupancy - Month 4,Property - xProjected Occupancy - Month 5,Property - xProjected Occupancy - Month 6,Property - xProjected Occupancy - Month 7,Property - xProjected Occupancy - Month 8,Property - xProjected Occupancy - Month 9,Property - xProjected Occupancy - Month 10,Property - xProjected Occupancy - Month 11,Property - xProjected Occupancy - Month 12
Campustown 1008 S. 4th,1: February 2021,February,2,2021,no,0,0,0,0,0,152,2021,2021,0,1: March 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20February%202021&z=9m5,1: February 2021,1: February 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: February 2021,1: February 2021,JT Bailey <62477437.bhmt>,,1: February 2021,27,JT Bailey <62477437.bhmt>,1,March,January,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: March 2021,March,3,2021,no,0,0,0,0,0,152,2021,2021,0,1: April 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20March%202021&z=9m5,1: March 2021,1: March 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: March 2021,1: March 2021,JT Bailey <62477437.bhmt>,,1: March 2021,28,JT Bailey <62477437.bhmt>,1,April,February,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: April 2021,April,4,2021,no,0,0,0,0,0,152,2021,2021,0,1: May 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20April%202021&z=9m5,1: April 2021,1: April 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: April 2021,1: April 2021,JT Bailey <62477437.bhmt>,,1: April 2021,29,JT Bailey <62477437.bhmt>,1,May,March,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: May 2021,May,5,2021,no,0,2,0,2,0,152,2021,2021,-2,1: June 2021,,0,-2,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20May%202021&z=9m5,1: May 2021,1: May 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: May 2021,1: May 2021,JT Bailey <62477437.bhmt>,,1: May 2021,30,JT Bailey <62477437.bhmt>,1,June,April,,,158,0,2,0%,-1.2658227848101%,,0%,2,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: June 2021,June,6,2021,no,0,0,0,0,0,152,2021,2021,0,1: July 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20June%202021&z=9m5,1: June 2021,1: June 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: June 2021,1: June 2021,JT Bailey <62477437.bhmt>,,1: June 2021,31,JT Bailey <62477437.bhmt>,1,July,May,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: July 2021,July,7,2021,no,0,84,8,92,0,152,2021,2021,-84,1: August 2021,,0,-84,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20July%202021&z=9m5,1: July 2021,1: July 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: July 2021,1: July 2021,JT Bailey <62477437.bhmt>,,1: July 2021,32,JT Bailey <62477437.bhmt>,1,August,June,,,158,0,84,0%,-53.164556962025%,,0%,84,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: August 2021,August,8,2021,no,0,0,0,0,0,152,2021,2021,0,1: September 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20August%202021&z=9m5,1: August 2021,1: August 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: August 2021,1: August 2021,JT Bailey <62477437.bhmt>,,1: August 2021,33,JT Bailey <62477437.bhmt>,1,September,July,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: September 2021,September,9,2021,no,0,0,0,0,0,152,2021,2021,0,1: October 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20September%202021&z=9m5,1: September 2021,1: September 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: September 2021,1: September 2021,JT Bailey <62477437.bhmt>,,1: September 2021,34,JT Bailey <62477437.bhmt>,1,October,August,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: October 2021,October,10,2021,no,0,0,0,0,0,152,2021,2021,0,1: November 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20October%202021&z=9m5,1: October 2021,1: October 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: October 2021,1: October 2021,JT Bailey <62477437.bhmt>,,1: October 2021,35,JT Bailey <62477437.bhmt>,1,November,September,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
Campustown 1008 S. 4th,1: November 2021,November,11,2021,no,0,0,0,0,0,152,2021,2021,0,1: December 2021,,0,0,https://gmh.quickbase.com/db/bq8c8mj2g?a=API_GenAddRecordForm&_fid_23=1%3A%20November%202021&z=9m5,1: November 2021,1: November 2021,02-23-2021 10:07 AM,02-23-2021 10:07 AM,1: November 2021,1: November 2021,JT Bailey <62477437.bhmt>,,1: November 2021,36,JT Bailey <62477437.bhmt>,1,December,October,,,158,0,0,0%,0%,,0%,0,,0,1: September 2024,1: October 2024,1: November 2024,1: December 2024,1: January 2025,1: February 2025,1: March 2025,1: April 2025,1: May 2025,1: June 2025,1: July 2025,1: August 2025,1: September 2025
