Portfolio Name,Property Name,Property Beds,"Property - # of Signed Renewals, Current Term","Property - # of Signed New Leases, Current Term","Property - # of Signed Leases, Current Term","Property - # of Renewals, Last Term - YTD","Property - # of New Leases, Last Term - YTD","Property - # of Signed Leases, Last Term - YTD",Date Created,Date Modified,Last Modified By,Portfolio Type,Record ID#,Record Owner,Related Portfolio,Related Property,Property - Current Term - Goals,Property - Total Scheduled Rent,Property - Total Rent Collected,"Property - Week - # of Leases Signed, Previous 7 Days","Property - Week - # of New Leases Signed, Previous 7 Days","Property - Week - # of Renewals Signed, Previous 7 Days",Property - Weekly Leases Needed to Achieve 90% at Week 52,Property - Weekly Leases Needed to Achieve 95% at Week 52,Property - Weekly Leases Needed to Achieve 100% at Week 52,"Property - # of Model Bed Leases, Current Term",Property - Total Occupied Beds,Property - Current Occupancy,Property - Prior Term PreLease,Property - Current Term PreLease,Property - Leases vs Last Year,Property - PreLease vs Last Year,Property - Weekly PreLease Gain,Property - Leases Remaining,Property - Current Week Number,Property - Leasing Season Week Ending Date,Property - Leasing Season Ending Week Number,Property - Report Sort Order
All GMH Properties,The Venue at North Campus,734,353,340,693,0,0,0,12-19-2023 12:21 PM,12-19-2023 12:21 PM,JT Bailey <62477437.bhmt>,Property Type,50,JT Bailey <62477437.bhmt>,1,23,0,,$0,0,0,0,32,0,0,0,653,88.964577656676%,0%,94.41416893733%,693,94.41416893733%,0%,41,53,08-01-2024,48,
All GMH Properties,Life Tower,0,0,0,0,143,289,432,03-20-2023 12:09 PM,03-20-2023 12:09 PM,JT Bailey <62477437.bhmt>,Property Type,49,JT Bailey <62477437.bhmt>,1,22,714,,$0,0,0,0,0,0,0,0,0,,,,-432,,,0,53,08-01-2024,48,
All GMH Properties,The Dean Reno,773,245,419,664,0,495,495,03-20-2023 12:09 PM,03-20-2023 12:09 PM,JT Bailey <62477437.bhmt>,Property Type,48,JT Bailey <62477437.bhmt>,1,21,773,,$0,0,0,0,0,0,0,6,557,72.056921086675%,64.036222509702%,85.899094437257%,169,21.862871927555%,0%,109,53,08-01-2024,48,
Medistar,Life Tower,0,0,0,0,143,289,432,03-15-2023 01:38 PM,03-15-2023 01:38 PM,JT Bailey <62477437.bhmt>,Owner,47,JT Bailey <62477437.bhmt>,8,22,714,,$0,0,0,0,0,0,0,0,0,,,,-432,,,0,53,08-01-2024,48,
CRG,The Dean Reno,773,245,419,664,0,495,495,01-20-2023 02:53 PM,01-20-2023 02:53 PM,JT Bailey <62477437.bhmt>,Equity Partner,45,JT Bailey <62477437.bhmt>,7,21,773,,$0,0,0,0,0,0,0,6,557,72.056921086675%,64.036222509702%,85.899094437257%,169,21.862871927555%,0%,109,53,08-01-2024,48,
All GMH Properties,Torre,558,166,360,526,146,362,508,07-18-2022 11:05 AM,07-18-2022 11:05 AM,JT Bailey <62477437.bhmt>,Property Type,44,JT Bailey <62477437.bhmt>,1,19,558,,$0,0,0,0,24,0,0,6,500,89.605734767025%,91.039426523297%,94.26523297491%,18,3.225806451613%,0%,32,53,08-01-2024,48,20
CBRE,Torre,558,166,360,526,146,362,508,12-20-2021 03:13 PM,12-20-2021 03:13 PM,JT Bailey <62477437.bhmt>,Equity Partner,43,JT Bailey <62477437.bhmt>,6,19,558,,$0,0,0,0,24,0,0,6,500,89.605734767025%,91.039426523297%,94.26523297491%,18,3.225806451613%,0%,32,53,08-01-2024,48,20
Principal,Shortbread Lofts,374,29,344,373,21,330,351,01-29-2021 02:04 PM,01-29-2021 02:04 PM,JT Bailey <62477437.bhmt>,Equity Partner,37,JT Bailey <62477437.bhmt>,5,10,395,"$367,620","$365,465",0,0,0,36,18,0,3,395,105.61497326203%,93.85026737968%,99.732620320856%,22,5.8823529411765%,0%,1,53,08-01-2024,48,11
Principal,The Academy at Frisco,640,341,343,684,255,384,639,01-29-2021 02:04 PM,01-29-2021 02:04 PM,JT Bailey <62477437.bhmt>,Equity Partner,39,JT Bailey <62477437.bhmt>,5,13,640,"$386,275.21","$384,200.47",0,0,0,108,76,44,4,639,99.84375%,99.84375%,106.875%,45,7.03125%,0%,-44,53,08-01-2024,48,14
Principal,The Academy on Charles,328,127,208,335,112,216,328,01-29-2021 02:04 PM,01-29-2021 02:04 PM,JT Bailey <62477437.bhmt>,Equity Partner,40,JT Bailey <62477437.bhmt>,5,15,328,"$369,071.3","$366,403.8",0,0,0,40,23,7,4,328,100%,100%,102.13414634146%,7,2.1341463414634%,0%,-7,53,08-01-2024,48,16
