Record ID#,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,xAudit - Bed Variance,occupied_count,"Floorplan - # of Signed Leases, Current Term",preleased_count,xAudit - Lease Variance,approved_count,completed_count,Date Created,Date Modified,excluded_unit_count,Floorplan - Property Name,Floorplan - Rentable Beds,Floorplan - Unit Type,Last Modified By,preleased_new_count,preleased_renewal_count,Property - Floorplan,property_id,Record Owner,Refresh key,units,xProperty Name,xUnit Type,xSigned Leases
1066,Academy Lincoln,,Not Selected,,0,,0,0,,0,0,0,0,07-22-2024 02:15 AM,07-22-2024 02:15 AM,0,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Academy Lincoln_Not Selected,0,Academy Lincoln,,0
765,ANOVA uCity Square,A4,A4,348,20,20,0,18,20,0,20,19,1,07-12-2022 12:41 PM,07-22-2024 02:15 AM,0,ANOVA uCity Square,20,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,ANOVA uCity Square_A4,20,ANOVA uCity Square,,0
888,The Rise at Northgate,D3,D3,234,40,40,0,22,30,0,30,38,2,07-12-2022 12:41 PM,07-22-2024 02:15 AM,0,The Rise at Northgate,40,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_D3,40,The Rise at Northgate,,0
890,The Rise at Northgate,E2 Penthouse,E2,237,30,30,0,17,32,0,32,29,1,07-12-2022 12:41 PM,07-22-2024 02:15 AM,0,The Rise at Northgate,30,5 x 5,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Rise at Northgate_E2,30,The Rise at Northgate,,0
964,The Dean Reno,D3,D3,365,64,64,0,21,50,0,50,41,1,10-11-2022 02:14 AM,07-22-2024 02:15 AM,0,The Dean Reno,64,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Reno_D3,64,The Dean Reno,,0
1033,The Caswell at Runnymeade,,B1,,83,,83,54,,0,0,51,1,02-03-2024 01:16 AM,07-22-2024 02:15 AM,2,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Caswell at Runnymeade_B1,85,The Caswell at Runnymeade,,0
746,1047 Commonwealth Avenue,S3,S3,19,51,51,0,51,34,0,34,31,1,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,1047 Commonwealth Avenue,51,0 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1047 Commonwealth Avenue_S3,51,1047 Commonwealth Avenue,,0
759,Academy Lincoln,D1,D1,60,472,472,0,452,489,0,489,465,1,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,Academy Lincoln,472,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Academy Lincoln_D1,472,Academy Lincoln,,0
786,Shortbread Lofts,C1 (Private),C1,207,56,56,0,53,42,0,42,57,0,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,Shortbread Lofts,56,3 x 3,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Shortbread Lofts_C1,56,Shortbread Lofts,,0
798,SOVA,D2,D2,93,88,88,0,88,106,0,106,91,1,07-12-2022 12:41 PM,07-21-2024 02:15 AM,0,SOVA,88,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,SOVA_D2,88,SOVA,,0
