Refresh key: Property,Refresh key: Unit Type,Unit Type,Related Floorplan,Floorplan Name,Property / FP / SO,Case Builder,xSystem - Case Builder,Floorplan Name2,"Floorplan - # of Signed Leases, Current Term",Refresh key: Space Option ( Actual ),Pre-Leased - Total,Occupied (Current),Pre-Leased - New Lease,Pre-Leased - Renewal,Pre-Leased - %,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By,Refresh key
Shortbread Lofts,B1,B1,201,B1 (Private),Shortbread Lofts - B1 - Private Window,,"""Shortbread Lofts - B1 - Private Window"", ""201"",",B1 (Private),16,Private Window,7,7,4,3,0.1750,01-21-2022 05:59 PM,05-15-2023 09:53 AM,175,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B1_Private Window
Shortbread Lofts,C1,C1,207,C1 (Private),Shortbread Lofts - C1 - Private Window,,"""Shortbread Lofts - C1 - Private Window"", ""207"",",C1 (Private),42,Private Window,25,24,21,4,0.4464,01-21-2022 05:59 PM,05-15-2023 09:53 AM,195,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C1_Private Window
Shortbread Lofts,D1,D1,215,D1 (Shared),Shortbread Lofts - D1 - Shared Window,,"""Shortbread Lofts - D1 - Shared Window"", ""215"",",D1 (Shared),127,Shared Window,69,66,68,1,0.3557,01-21-2022 05:59 PM,05-15-2023 09:53 AM,223,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D1_Shared Window
The Rise at Northgate,D1,D1,231,D1,The Rise at Northgate - D1 - Balcony Standard Bedroom,,"""The Rise at Northgate - D1 - Balcony Standard Bedroom"", ""231"",",D1,182,Balcony Standard Bedroom,42,42,19,23,0.1667,01-21-2022 05:59 PM,05-15-2023 09:53 AM,264,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_D1_Balcony Standard Bedroom
The Rise at Northgate,S1,S1,218,S1,The Rise at Northgate - S1 - Standard Bedroom,,"""The Rise at Northgate - S1 - Standard Bedroom"", ""218"",",S1,16,Standard Bedroom,14,13,4,10,0.6667,01-21-2022 05:59 PM,05-15-2023 09:53 AM,298,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,The Rise at Northgate_S1_Standard Bedroom
Shortbread Lofts,B1,B1,372,B1 (Not Selected),Shortbread Lofts - B1 - Not Selected,,"""Shortbread Lofts - B1 - Not Selected"", ""372"",",B1 (Not Selected),,Not Selected,0,1,0,0,0.0000,10-24-2022 11:05 AM,05-15-2023 09:53 AM,311,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B1_Not Selected
Shortbread Lofts,D1,D1,380,D1 (Not Selected),Shortbread Lofts - D1 - Not Selected,,"""Shortbread Lofts - D1 - Not Selected"", ""380"",",D1 (Not Selected),,Not Selected,0,21,0,0,0.0000,10-24-2022 11:05 AM,05-15-2023 09:53 AM,322,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_D1_Not Selected
Shortbread Lofts,B1,B1,202,B1 (Shared),Shortbread Lofts - B1 - Shared Top Floor Window,,"""Shortbread Lofts - B1 - Shared Top Floor Window"", ""202"",",B1 (Shared),24,Shared Top Floor Window,1,1,1,0,0.0250,01-21-2022 05:59 PM,05-15-2023 08:53 AM,177,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_B1_Shared Top Floor Window
Shortbread Lofts,C1,C1,207,C1 (Private),Shortbread Lofts - C1 - Private No Window,,"""Shortbread Lofts - C1 - Private No Window"", ""207"",",C1 (Private),42,Private No Window,15,15,13,2,0.2679,01-21-2022 05:59 PM,05-15-2023 08:53 AM,194,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C1_Private No Window
Shortbread Lofts,C1,C1,376,C1 (Not Selected),Shortbread Lofts - C1 - Not Selected,,"""Shortbread Lofts - C1 - Not Selected"", ""376"",",C1 (Not Selected),,Not Selected,0,2,0,0,0.0000,10-24-2022 11:05 AM,05-15-2023 08:53 AM,317,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,Shortbread Lofts_C1_Not Selected
