Floorplan - Property Name,Floorplan Name,Tier Lease Type,Tier Status,Tier #,Tier Type,Tier Rate,# of Leases Allowed,Tier Rate Increase,# of Leases Signed,# of Leases Remaining,Add Lease,Date Created,Date Modified,Earliest Lease Sign Date - Last Term,Floorplan - Active New Lease Tier Number,Floorplan - Active Renewal Tier Number,"Floorplan - Average Base Installment Rate, Current Term","Floorplan - Average Base Installment Rate, Last Term",Last Modified By,Latest Lease Sign Date - Last Term,Lease Term,Leases,Property / Floorplan / Term / Type,Record ID#,Record Owner,Related Floorplan,Remaining Potential Rent,Tier Name,"Total Base Installment Rate, Current Term",xCurrent Term,xSystem - New Lease Tier Check,xSystem - Renewal Tier Check,Floorplan - Property - Live,Assignment Key,Average Tier Rate,Floorplan - Total Beds,Floorplan - Active New Lease Tier ID#,Floorplan - Active Renewal Tier ID#,Floorplan - Budget Installment Amount,Floorplan - Property Access
The Academy at Frisco,Studio,New Lease,COMPLETE,1,,$825,8,,,8,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1343&_fid_11=122&_fid_10=825&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,"$1,258.75","$1,029.25",JT Bailey <62477437.bhmt>,,2022 - 2023,1343,The Academy at Frisco / Studio / 2022 - 2023 / New Lease,1343,JT Bailey <62477437.bhmt>,122,$6600,The Academy at Frisco - Studio - New Lease #1 - $825,,2024 - 2025,no,no,no,The Academy at Frisco - Studio - 825 - 2022 - 2023,,20,,,$825, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,A1,New Lease,COMPLETE,1,,$995,12,,,12,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1344&_fid_11=110&_fid_10=995&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,"$1,393.4285714286","$1,178.7096774194",JT Bailey <62477437.bhmt>,,2022 - 2023,1344,The Academy at Frisco / A1 / 2022 - 2023 / New Lease,1344,JT Bailey <62477437.bhmt>,110,"$11,700",The Academy at Frisco - A1 - New Lease #1 - $995,,2024 - 2025,no,no,no,The Academy at Frisco - A1 - 995 - 2022 - 2023,,31,,,$975, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,A2,New Lease,COMPLETE,1,,$995,3,,,3,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1345&_fid_11=111&_fid_10=995&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,"$1,441.6666666667","$1,055",JT Bailey <62477437.bhmt>,,2022 - 2023,1345,The Academy at Frisco / A2 / 2022 - 2023 / New Lease,1345,JT Bailey <62477437.bhmt>,111,$2925,The Academy at Frisco - A2 - New Lease #1 - $995,,2024 - 2025,no,no,no,The Academy at Frisco - A2 - 995 - 2022 - 2023,,3,,,$975, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,B1,New Lease,COMPLETE,1,,$720,20,,,20,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1346&_fid_11=112&_fid_10=720&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,$922.44897959184,$819.47916666667,JT Bailey <62477437.bhmt>,,2022 - 2023,1346,The Academy at Frisco / B1 / 2022 - 2023 / New Lease,1346,JT Bailey <62477437.bhmt>,112,"$15,000",The Academy at Frisco - B1 - New Lease #1 - $720,,2024 - 2025,no,no,no,The Academy at Frisco - B1 - 720 - 2022 - 2023,,48,,,$750, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,B2,New Lease,COMPLETE,1,,$735,4,,,4,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1347&_fid_11=113&_fid_10=735&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,$940.9090909091,$842,JT Bailey <62477437.bhmt>,,2022 - 2023,1347,The Academy at Frisco / B2 / 2022 - 2023 / New Lease,1347,JT Bailey <62477437.bhmt>,113,$3000,The Academy at Frisco - B2 - New Lease #1 - $735,,2024 - 2025,no,no,no,The Academy at Frisco - B2 - 735 - 2022 - 2023,,10,,,$750, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,B3,New Lease,COMPLETE,1,,$735,4,,,4,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1348&_fid_11=114&_fid_10=735&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,$940.35714285714,$880,JT Bailey <62477437.bhmt>,,2022 - 2023,1348,The Academy at Frisco / B3 / 2022 - 2023 / New Lease,1348,JT Bailey <62477437.bhmt>,114,$3040,The Academy at Frisco - B3 - New Lease #1 - $735,,2024 - 2025,no,no,no,The Academy at Frisco - B3 - 735 - 2022 - 2023,,10,,,$760, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,C1,New Lease,COMPLETE,1,,$710,10,,,10,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1349&_fid_11=115&_fid_10=710&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,$884.16666666667,$784.16666666667,JT Bailey <62477437.bhmt>,,2022 - 2023,1349,The Academy at Frisco / C1 / 2022 - 2023 / New Lease,1349,JT Bailey <62477437.bhmt>,115,$7250,The Academy at Frisco - C1 - New Lease #1 - $710,,2024 - 2025,no,no,no,The Academy at Frisco - C1 - 710 - 2022 - 2023,,18,,,$725, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,D1,New Lease,COMPLETE,1,,$550,84,,,84,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1350&_fid_11=116&_fid_10=550&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,$831.9918699187,$637.01754385965,JT Bailey <62477437.bhmt>,,2022 - 2023,1350,The Academy at Frisco / D1 / 2022 - 2023 / New Lease,1350,JT Bailey <62477437.bhmt>,116,"$46,200",The Academy at Frisco - D1 - New Lease #1 - $550,,2024 - 2025,no,no,no,The Academy at Frisco - D1 - 550 - 2022 - 2023,,228,,,$550, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,D2,New Lease,COMPLETE,1,,$545,52,,,52,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1351&_fid_11=117&_fid_10=545&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,$816.38888888889,$643.8489208633,JT Bailey <62477437.bhmt>,,2022 - 2023,1351,The Academy at Frisco / D2 / 2022 - 2023 / New Lease,1351,JT Bailey <62477437.bhmt>,117,"$28,600",The Academy at Frisco - D2 - New Lease #1 - $545,,2024 - 2025,no,no,no,The Academy at Frisco - D2 - 545 - 2022 - 2023,,140,,,$550, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
The Academy at Frisco,D3,New Lease,COMPLETE,1,,$530,8,,,8,https://gmh.quickbase.com/db/bq5hz7i6d?a=API_GenAddRecordForm&_fid_65=1352&_fid_11=118&_fid_10=530&_fid_32=New%20Lease&z=9mf,11-29-2021 10:29 AM,11-29-2021 10:36 AM,,,,$800.25,$611.875,JT Bailey <62477437.bhmt>,,2022 - 2023,1352,The Academy at Frisco / D3 / 2022 - 2023 / New Lease,1352,JT Bailey <62477437.bhmt>,118,$4320,The Academy at Frisco - D3 - New Lease #1 - $530,,2024 - 2025,no,no,no,The Academy at Frisco - D3 - 530 - 2022 - 2023,,16,,,$540, Aaron  Doucet <63066642.d9eq>; Anthony  Blok <63066643.d4k2>;Jessica Burrough <63070218.yq68>
