Scheduled Charges,Refresh key: Charge Code,Refresh key: Lease ID,Unit Type,Property,Related Import Lease,Import Lease - Lease - Record ID#,Related Import Lease (ref),xQuery - Related Lease,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By,Refresh key
$670,Base Rent,R13337986,D1,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11647,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13337986_Base Rent
$645,Base Rent,R13339157,D1,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11648,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13339157_Base Rent
$30,Uncovered Garage Parking,R13338925,D1,Academy Lincoln,,,,"30,896",03-23-2022 06:41 PM,03-23-2022 06:41 PM,11649,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13338925_Uncovered Garage Parking
$645,Base Rent,R13338925,D1,Academy Lincoln,,,,"30,896",03-23-2022 06:41 PM,03-23-2022 06:41 PM,11650,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13338925_Base Rent
$55,Covered Parking,R13339464,D1,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11651,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13339464_Covered Parking
$645,Base Rent,R13339464,D1,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11652,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13339464_Base Rent
$30,Uncovered Garage Parking,R13334918,D1,Academy Lincoln,,,,"32,518",03-23-2022 06:41 PM,03-23-2022 06:41 PM,11653,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13334918_Uncovered Garage Parking
$645,Base Rent,R13334918,D1,Academy Lincoln,,,,"32,518",03-23-2022 06:41 PM,03-23-2022 06:41 PM,11654,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13334918_Base Rent
$645,Base Rent,R13339353,D1,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11655,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13339353_Base Rent
$645,Base Rent,R13333838,D1,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11656,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13333838_Base Rent
$645,Base Rent,R13340286,Not Selected,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11657,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13340286_Base Rent
$645,Base Rent,R13339360,Not Selected,Academy Lincoln,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11658,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13339360_Base Rent
$75,Garage Parking,R13334050,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11659,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13334050_Garage Parking
"$1,695",Base Rent,R13281044,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11660,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13281044_Base Rent
$75,Garage Parking,R13318336,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11661,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13318336_Garage Parking
"$1,675",Base Rent,R13318336,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11662,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13318336_Base Rent
$10,Landlord Personal Property Protection Program,R13318336,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11663,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13318336_Landlord Personal Property Protection Program
$75,Garage Parking,R13247964,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11664,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13247964_Garage Parking
"$1,685",Base Rent,R13188022,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11665,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13188022_Base Rent
"$1,695",Base Rent,R13314831,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11666,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13314831_Base Rent
$75,Garage Parking,R13270954,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11667,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13270954_Garage Parking
$75,Garage Parking,R13325134,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11668,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13325134_Garage Parking
$75,Garage Parking,R13327905,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11669,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13327905_Garage Parking
$75,Garage Parking,R13334561,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11670,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13334561_Garage Parking
$75,Garage Parking,R13271368,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11671,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13271368_Garage Parking
"$1,780",Base Rent,R13313320,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11672,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13313320_Base Rent
$10,Landlord Personal Property Protection Program,R13313875,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11673,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13313875_Landlord Personal Property Protection Program
$6,Landlord Liability Protection Plan,R13313875,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11674,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13313875_Landlord Liability Protection Plan
"$1,780",Base Rent,R13337819,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11675,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13337819_Base Rent
"$1,745",Base Rent,R13314001,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11676,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13314001_Base Rent
$75,Garage Parking,R13292340,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11677,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13292340_Garage Parking
"$1,845",Base Rent,R13278518,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11678,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13278518_Base Rent
"$1,880",Base Rent,R13337888,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11679,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13337888_Base Rent
$75,Garage Parking,R13337027,A1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11680,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13337027_Garage Parking
"$1,255",Base Rent,R13335896,B1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11681,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13335896_Base Rent
"$1,255",Base Rent,R13335898,B1,Everly on The Loop,,,,,03-23-2022 06:41 PM,03-23-2022 06:41 PM,11682,Connected Data Service <3000.e5kr>,Connected Data Service <3000.e5kr>,R13335898_Base Rent
