property_id,property_name,property_type,property_website,property_email,property_description_short,property_description_long,is_disabled,is_featured,parent_property_id,year_built,address_street,address_city,address_state,address_zip,address_country,property_ar_post_month,property_ap_post_month,property_gl_post_month,property_email_mailto,address_full,map_url,map_iframe,map_geocode_data,map_place_id,map_lat,map_lon,map_formatted_address,map_info_title,map_info_html,map_color,map_id,map_title,map_label,map_info_window
739085,1047 Commonwealth Avenue,Student,https://1047commonwealthavenue.prospectportal.com/,info@1047commonwealth.com,NA,NA,FALSE,FALSE,NA,NA,1047 Commonwealth Avenue,Boston,MA,02215,US,09/2024,09/2024,09/2024,mailto:info@1047commonwealth.com,"1047 Commonwealth Avenue, Boston, MA 02215, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1047%20Commonwealth%20Avenue,%20Boston,%20MA%2002215,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1047%20Commonwealth%20Avenue,%20Boston,%20MA%2002215,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJ1yav6sJ544kRR51NwcqZaBI,42.3522312,-71.1226248,"1047 Commonwealth Ave, Boston, MA 02215, USA",1047 Commonwealth Avenue,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1047%20Commonwealth%20Avenue,%20Boston,%20MA%2002215,%20US></iframe></div>",blue,739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1047%20Commonwealth%20Avenue,%20Boston,%20MA%2002215,%20US></iframe></div>"
739084,908 S. 1st,Student,https://www.theacademycampustown.com/,Info@theacademycampustown.com,NA,NA,FALSE,FALSE,739076,NA,908 S. 1st,Champaign,IL,61820,US,09/2024,09/2024,09/2024,mailto:Info@theacademycampustown.com,"908 S. 1st, Champaign, IL 61820, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=908%20S.%201st,%20Champaign,%20IL%2061820,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=908%20S.%201st,%20Champaign,%20IL%2061820,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJwUZmJDfXDIgRl4S5dEGQQ_M,40.1072314,-88.2384107,"908 S 1st St, Champaign, IL 61820, USA",908 S. 1st,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=908%20S.%201st,%20Champaign,%20IL%2061820,%20US></iframe></div>",blue,739084,908 S. 1st,908 S. 1st,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=908%20S.%201st,%20Champaign,%20IL%2061820,%20US></iframe></div>"
641240,Academy 65,Student,https://www.academy65.com,info@academy65.com,NA,NA,FALSE,FALSE,NA,2018,1325 65th St,Sacramento,CA,95819,US,09/2024,09/2024,09/2024,mailto:info@academy65.com,"1325 65th St, Sacramento, CA 95819, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1325%2065th%20St,%20Sacramento,%20CA%2095819,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1325%2065th%20St,%20Sacramento,%20CA%2095819,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJtZJeSpLamoARkbrhbuVB1Fs,38.5552588,-121.4269372,"1325 65th St, Sacramento, CA 95819, USA",Academy 65,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1325%2065th%20St,%20Sacramento,%20CA%2095819,%20US></iframe></div>",blue,641240,Academy 65,Academy 65,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1325%2065th%20St,%20Sacramento,%20CA%2095819,%20US></iframe></div>"
676055,Academy Lincoln,Student,https://www.academylincoln.com/academy-lincoln-lincoln-nebraska/,info@academylincoln.com,NA,NA,FALSE,FALSE,NA,NA,1850 P Street,Lincoln,NE,68508,US,09/2024,09/2024,09/2024,mailto:info@academylincoln.com,"1850 P Street, Lincoln, NE 68508, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1850%20P%20Street,%20Lincoln,%20NE%2068508,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1850%20P%20Street,%20Lincoln,%20NE%2068508,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJqea-H_C-locR_EJOsHaBSxI,40.8150396,-96.69497469999999,"1850 P St, Lincoln, NE 68508, USA",Academy Lincoln,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1850%20P%20Street,%20Lincoln,%20NE%2068508,%20US></iframe></div>",blue,676055,Academy Lincoln,Academy Lincoln,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1850%20P%20Street,%20Lincoln,%20NE%2068508,%20US></iframe></div>"
518044,Shortbread Lofts,Student,http://shortbreadlofts.com,info@shortbreadlofts.com,NA,NA,FALSE,FALSE,NA,2014,333 W Rosemary Street,Chapel Hill,NC,27516,US,09/2024,09/2024,09/2024,mailto:info@shortbreadlofts.com,"333 W Rosemary Street, Chapel Hill, NC 27516, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=333%20W%20Rosemary%20Street,%20Chapel%20Hill,%20NC%2027516,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=333%20W%20Rosemary%20Street,%20Chapel%20Hill,%20NC%2027516,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJ2SpV_uDCrIkRPzhTHyokho8,35.9117621,-79.06152639999999,"333 W Rosemary St, Chapel Hill, NC 27516, USA",Shortbread Lofts,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=333%20W%20Rosemary%20Street,%20Chapel%20Hill,%20NC%2027516,%20US></iframe></div>",blue,518044,Shortbread Lofts,Shortbread Lofts,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=333%20W%20Rosemary%20Street,%20Chapel%20Hill,%20NC%2027516,%20US></iframe></div>"
952515,SOVA,Student,https://sovaksu.com/,info@sovaksu.com,NA,NA,FALSE,FALSE,NA,2018,3021 Hidden Forest  Ct,Marietta,GA,30066,US,09/2024,09/2024,09/2024,mailto:info@sovaksu.com,"3021 Hidden Forest  Ct, Marietta, GA 30066, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3021%20Hidden%20Forest%20%20Ct,%20Marietta,%20GA%2030066,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3021%20Hidden%20Forest%20%20Ct,%20Marietta,%20GA%2030066,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJX2ouMygV9YgREfKdfLIieDU,34.024987,-84.56492639999999,"3021 Hidden Forest Ct, Marietta, GA 30066, USA",SOVA,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3021%20Hidden%20Forest%20%20Ct,%20Marietta,%20GA%2030066,%20US></iframe></div>",blue,952515,SOVA,SOVA,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3021%20Hidden%20Forest%20%20Ct,%20Marietta,%20GA%2030066,%20US></iframe></div>"
518041,The Academy at Frisco,Student,http://www.theacademyatfrisco.com,info@theacademyatfrisco.com,NA,NA,FALSE,FALSE,NA,2012,413 N West Ave,Fayetteville,AR,72701,US,09/2024,09/2024,09/2024,mailto:info@theacademyatfrisco.com,"413 N West Ave, Fayetteville, AR 72701, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=413%20N%20West%20Ave,%20Fayetteville,%20AR%2072701,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=413%20N%20West%20Ave,%20Fayetteville,%20AR%2072701,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJCRF4ddtuyYcR79Piugcat5Q,36.0688743,-94.1655735,"413 N West Ave, Fayetteville, AR 72701, USA",The Academy at Frisco,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=413%20N%20West%20Ave,%20Fayetteville,%20AR%2072701,%20US></iframe></div>",blue,518041,The Academy at Frisco,The Academy at Frisco,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=413%20N%20West%20Ave,%20Fayetteville,%20AR%2072701,%20US></iframe></div>"
518042,The Academy on Charles,Student,http://www.theacademyoncharles.com,info@theacademyoncharles.com,NA,NA,FALSE,FALSE,NA,2012,3700 N Charles St,Baltimore,MD,21218,US,09/2024,09/2024,09/2024,mailto:info@theacademyoncharles.com,"3700 N Charles St, Baltimore, MD 21218, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3700%20N%20Charles%20St,%20Baltimore,%20MD%2021218,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3700%20N%20Charles%20St,%20Baltimore,%20MD%2021218,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJy5qT-SEFyIkRfttEgPtaXqQ,39.3340036,-76.6189778,"3700 N Charles St, Baltimore, MD 21218, USA",The Academy on Charles,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3700%20N%20Charles%20St,%20Baltimore,%20MD%2021218,%20US></iframe></div>",blue,518042,The Academy on Charles,The Academy on Charles,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=3700%20N%20Charles%20St,%20Baltimore,%20MD%2021218,%20US></iframe></div>"
833617,The Dean Campustown,Student,https://www.thedean.com/campustown/,info@thedeancampustown.com,"The Dean offers unique student apartments near UIUC you can't find anywhere else. Here, convenience and luxury culminate in the best housing amenities, including upscale apartment features. Contact us today to find out details on our 16th a","Take your college living experience to the next level with The Dean in Champaign. Conveniently located in the center of Campustown and adjacent to the heart of campus and Greek life, our student apartments near the University of Illinois at Urbana-Champaign are comprised of everything students need and want &mdash; including spacious apartments with modern finishes and a range of luxury amenities.",FALSE,FALSE,NA,2020,708 South 6th Street,Champaign,IL,61820,US,09/2024,09/2024,09/2024,mailto:info@thedeancampustown.com,"708 South 6th Street, Champaign, IL 61820, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=708%20South%206th%20Street,%20Champaign,%20IL%2061820,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=708%20South%206th%20Street,%20Champaign,%20IL%2061820,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJoYP6Fj_XDIgRp-bmPdZ1xyw,40.1095997,-88.23011319999999,"708 S 6th St, Champaign, IL 61820, USA",The Dean Campustown,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=708%20South%206th%20Street,%20Champaign,%20IL%2061820,%20US></iframe></div>",blue,833617,The Dean Campustown,The Dean Campustown,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=708%20South%206th%20Street,%20Champaign,%20IL%2061820,%20US></iframe></div>"
1197887,The Dean Reno,Student,http://thedeanreno.prospectportal.com,info@thedeanreno.com,NA,NA,FALSE,FALSE,NA,2023,1475 N. Virginia Street,Reno,NV,89503,US,09/2024,09/2024,09/2024,mailto:info@thedeanreno.com,"1475 N. Virginia Street, Reno, NV 89503, US","https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1475%20N.%20Virginia%20Street,%20Reno,%20NV%2089503,%20US","<iframe src='https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1475%20N.%20Virginia%20Street,%20Reno,%20NV%2089503,%20US' width='800' height='600' style='border:0;' allowfullscreen='' loading='lazy' referrerpolicy='no-referrer-when-downgrade'></iframe>",,ChIJkaV98D1HmYARUUK9HyRw-k0,39.5436031,-119.8186266,"1475 N Virginia St, Reno, NV 89503, USA",The Dean Reno,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1475%20N.%20Virginia%20Street,%20Reno,%20NV%2089503,%20US></iframe></div>",blue,1197887,The Dean Reno,The Dean Reno,"<div id='content'><iframe width='450px' height='250px' frameborder='0' style='border:0'src=https://www.google.com/maps/embed/v1/place?key=AIzaSyA9iicnOPVX6NmifeCQNYtEhIciwdSgaOc&q=1475%20N.%20Virginia%20Street,%20Reno,%20NV%2089503,%20US></iframe></div>"
